"ASIANPAINT","BAJAJ-AUTO","BAJAJFINSV","ADANIPORTS","AXISBANK","BAJFINANCE","BHARTIARTL","BPCL","BRITANNIA","CIPLA","COALINDIA","DRREDDY","EICHERMOT","GAIL","GRASIM","HCLTECH","HDFC","HDFCBANK","HEROMOTOCO","HINDALCO","HINDUNILVR","ICICIBANK","INDUSINDBK","INFY","IOC","ITC","JSWSTEEL","KOTAKBANK","LT","M&M","MARUTI","NESTLEIND","NTPC","ONGC","POWERGRID","RELIANCE","SBIN","SHREECEM","SUNPHARMA","TATAMOTORS","TATASTEEL","TCS","TECHM","TITAN","ULTRACEMCO","UPL","VEDL","WIPRO","ZEEL"
1686.25,2852.45,6405.4,340.6,444.15,3208.05,561.3,378.15,3685,634.4,132.85,3886.7,19391.7,102.7,608.5,574.9,1886.05,1110.35,2719.2,155,2186.05,368.95,552.6,774.7,86.95,196.3,195.35,1352.75,941.25,551.25,6044.4,16802.05,91,81.3,169.75,1798,191.9,22439.8,482.5,105.35,334.2,2218.9,583.45,991.15,3786.65,444,110.4,223.1,172.15
1717.25,2882,6569.2,343.15,453.75,3330,568.65,376.75,3673.6,639.05,130.4,3896.6,19483.25,105.55,616.65,588.25,1941.85,1124.95,2691.45,164.8,2175.85,370.35,556.55,781.7,86.5,195.45,197.45,1368.15,944.95,560.3,6002.35,16759.1,91.2,80.2,171.55,1824.25,199.1,22803.6,481.95,106.95,344.5,2204.35,577.3,991.6,3843.45,442.55,112,221.6,171.9
1703.5,2894.7,6483.8,334.95,439.6,3314.15,574.7,376.35,3726.65,638.9,131.2,3905.45,19447.85,102.4,611.45,582.25,1886,1105.1,2681.25,163.7,2223.8,360.35,539.25,781.85,86.15,194.35,193.3,1349.35,932.15,554.85,5955.65,16833.1,90.4,78.55,172.6,1878.05,195.6,22295.4,493.9,107.6,338.7,2222.35,569,961.85,3798.5,436.5,110.35,222.1,170.1
1705.65,2900,6461.45,332.2,440.05,3234.6,586.8,379.95,3796.8,638.35,130.5,3899.55,19655,101.1,611.75,602.6,1845.55,1080.25,2689.7,169.25,2265.25,353.6,539.65,797.05,87.4,197.55,198.4,1335.55,928.15,555.85,5988.85,16956.85,89.9,78.9,169.1,1935,192.7,22311.2,499.7,108,342.1,2220,600.05,966.35,3787.9,439.2,112.4,227.6,173.75
1688.4,2899.5,6243.45,320.4,417.7,3190.95,589.35,373.75,3735.25,632.3,128.25,3983.15,18850.15,99.05,596.7,591.35,1791.6,1058.85,2611.85,163.8,2234.75,345.55,510.8,783.25,86.4,195.9,194.05,1298.3,912.9,545.2,5771.75,16895.8,87.65,77.35,163.35,1917,186.05,22085.75,492.1,105.15,336.65,2171.95,598.3,973.8,3770.9,437.5,108.9,225,166.3
1671.65,2942.05,6168.45,315.15,426.65,3149.25,563.6,369.6,3723.25,638.2,128,4036.45,18562.55,96.95,588.9,615.2,1789.9,1053.15,2648.05,165.4,2275.15,345.8,503.55,830.95,85.65,198.7,194.9,1290,912.2,550.15,5801.3,16908.75,88.05,76.25,163.55,1844,183.8,21843.25,495.1,103.2,339.3,2233.9,615.3,967.95,3820.65,437.55,109.1,262.75,160.25
1693.2,2942.3,6264.9,311.2,434,3204.8,562.75,393.9,3854.75,674.5,126.15,4152.15,18639.55,96.75,583.05,627.75,1787.8,1062.55,2714.8,166.05,2287.85,344.65,518.6,911,84.25,193.85,201.15,1322.65,921.15,570.9,5875.35,17495.65,86.75,76.15,162.2,1843.4,186.25,21731.1,499.7,102.95,341.65,2234.75,599.4,961.35,3816.25,433.45,108.9,261.9,157.4
1717.9,2995,6361.6,313,433.1,3301.3,566.75,443.8,3785,689.1,130.6,4118.75,18810.8,100.85,592.1,623.15,1805.85,1098.45,2764.05,162.15,2334.55,353.8,520.8,903.15,86.9,194.05,206.75,1327.45,925.55,588.8,5919.5,17229.95,88.3,80.35,163.3,1911.7,188.2,22269.95,503.6,106.4,350.95,2200.75,599.7,997.85,3862.85,436.45,109.15,261.35,157.4
1751.6,3002.55,6620.15,317.3,434,3441.5,575.75,437.3,3982.65,674.35,133,4092.1,19187.65,100.2,603.15,648.6,1806.05,1133.05,2860.15,160.9,2330.95,363,528.75,934.3,88.3,192.7,206.8,1319.05,919.6,594,5867.5,17247,87.15,80.3,163.5,1919.9,190.75,22266.1,483.8,105.05,352.4,2207.9,622.85,1001.7,3865.1,453.65,108.1,270.8,154.75
1724.25,3004.3,6384.35,314.7,446.2,3292.45,567.75,464.2,3880.4,662.3,133.1,4033.55,20116.65,103.8,603.1,652.35,1883.65,1138.55,2869.15,160,2318,378.8,523.5,936.75,93.45,192.25,209.95,1359,938.05,588.3,6130.85,17275.6,88.35,82.45,173.65,1971.55,194.4,22440.75,477.25,108.45,359.15,2225.05,620.7,1015.15,3863.3,458.4,110.8,271.35,153.75
1695.75,2985.4,6347.4,312,478.95,3253,569.15,450.6,3805.05,661.7,134.1,4061.6,19890.55,101.95,601.8,650.15,1881.05,1126.35,2768,159.9,2248.5,381.1,513.55,917.9,92,196.55,207,1342.35,920.9,592,6003.4,17151.85,90.35,82.6,179.65,2004,192,21979.45,474.3,105.15,350.05,2190.95,617.95,1057.7,3862.65,460.25,112.1,266,157
1727.8,3032.1,6381.35,313.9,460.85,3297.8,567.2,457.55,3827.6,671.45,133.45,4130,20882.45,102.3,598.25,652.85,1875.8,1130.4,2771.2,162,2211.35,392.25,513.9,907.95,94.3,200.7,209.35,1374.05,916.55,603.35,6065.95,17256.4,90.55,82.65,181.75,2057.8,198.25,21568.15,476,106.05,351.9,2171.2,632.45,1070.2,3837.9,462.75,113.95,266.6,158.95
1712.05,2985.5,6270.3,309.4,445.6,3251.85,559.45,448.4,3818.45,666.05,131.6,4065.95,20800.35,99.55,582.7,679.95,1841.3,1119.1,2740.7,156.2,2209.3,381.8,522.25,922.85,92.8,199.6,205,1350,904.4,598.7,6000.7,17251.85,89.4,81,182,2146.15,191.95,21332.75,485.6,103.75,346.1,2157.4,652.6,1057.6,3782.5,454.15,112.05,270.55,151.7
1778.15,3020.5,6173.2,309.05,431.55,3171.15,559.5,457.7,3777.35,652.9,129.95,4015.7,20537.7,97.5,570.8,701.1,1850.75,1079.5,2743.6,158.2,2221.5,358.5,506.65,948.45,93.75,196.4,206.95,1322.6,903.8,594.4,6043.3,17350.25,87.65,80.8,180.9,2156.2,187.15,21113.85,475.5,101.7,352.85,2206.8,664.55,1042.1,3860.1,445.8,109.85,268.85,145.4
